Id,Label,House
Tycho-Nestoris,Tycho Nestoris,Other
Tyene-Sand,Tyene Sand,Other
Tyrion-Lannister,Tyrion Lannister,Lannister
Tysha,Tysha,Other
Tytos-Blackwood,Tytos Blackwood,Other
Tywin-Lannister,Tywin Lannister,Lannister
Ulf-son-of-Umar,Ulf son of Umar,Other
Ulmer,Ulmer,Other
Umma,Umma,Other
Unella,Unella,Other
Urswyck,Urswyck,Other
Urzen,Urzen,Other
Utherydes-Wayn,Utherydes Wayn,Other
Val,Val,Other
Varamyr,Varamyr,Other
Vardis-Egen,Vardis Egen,Other
Vargo-Hoat,Vargo Hoat,Other
Varly,Varly,Other
Varys,Varys,Other
Vayon-Poole,Vayon Poole,Other
Victarion-Greyjoy,Victarion Greyjoy,Greyjoy
Visenya-Targaryen,Visenya Targaryen,Targaryen
Viserys-Targaryen,Viserys Targaryen,Targaryen
Vylarr,Vylarr,Other
Vyman,Vyman,Other
Waif,Waif,Other
Walda-Frey-(daughter-of-Merrett),Walda Frey (daughter of Merrett),Frey
Walder-Frey,Walder Frey,Frey
Walder-Frey-(son-of-Jammos),Walder Frey (son of Jammos),Frey
Walder-Frey-(son-of-Merrett),Walder Frey (son of Merrett),Frey
Walder-Rivers,Walder Rivers,Other
Walgrave,Walgrave,Other
Walton,Walton,Other
Watt,Watt,Other
Waymar-Royce,Waymar Royce,Other
Weasel,Weasel,Other
Weeper,Weeper,Other
Weese,Weese,Other
Wendel-Manderly,Wendel Manderly,Other
Werlag,Werlag,Other
Wex-Pyke,Wex Pyke,Other
Wick-Whittlestick,Wick Whittlestick,Other
Widower,Widower,Other
Will-(prologue),Will (prologue),Other
Willam-Dustin,Willam Dustin,Other
Willas-Tyrell,Willas Tyrell,Tyrell
Willem-Lannister,Willem Lannister,Lannister
William-Foxglove,William Foxglove,Other
Willis-Wode,Willis Wode,Other
Willow-Heddle,Willow Heddle,Other
Willow-Witch-eye,Willow Witch eye,Other
Woth,Woth,Other
Wulfe,Wulfe,Other
Wun-Weg-Wun-Dar-Wun,Wun Weg Wun Dar Wun,Other
Wyl-(guard),Wyl (guard),Other
Wylis-Manderly,Wylis Manderly,Other
Wylla,Wylla,Other
Wyman-Manderly,Wyman Manderly,Other
Wynton-Stout,Wynton Stout,Other
Xaro-Xhoan-Daxos,Xaro Xhoan Daxos,Other
Xhondo,Xhondo,Other
Yandry,Yandry,Other
Yellow-Dick,Yellow Dick,Other
Yezzan-zo-Qaggaz,Yezzan zo Qaggaz,Other
Ygritte,Ygritte,Other
Yohn-Royce,Yohn Royce,Other
Yoren,Yoren,Other
Yorko-Terys,Yorko Terys,Other
Ysilla,Ysilla,Other
Yurkhaz-zo-Yunzak,Yurkhaz zo Yunzak,Other
Zei,Zei,Other
Zollo,Zollo,Other
