Source,Target,Weight
10,16,16
10,11,30
10,13,8
10,15,28
10,12,1
10,19,2
10,17,1
1,10,106
1,6,1
1,11,25
1,9,48
1,2,24
1,7,15
1,15,1
1,19,1
6,10,45
6,16,9
6,11,2
6,9,1
6,7,2
6,15,5
11,14,4
11,18,2
9,10,76
9,11,2
2,10,47
2,6,1
2,11,40
2,9,7
2,7,9
2,15,1
7,10,5
7,16,1
7,11,1
4,10,1
0,10,96
0,1,25
0,6,3
0,11,11
0,9,24
0,2,4
0,15,5
5,10,5
5,6,1
5,9,1
8,10,1
3,10,4
