Id,NumMembers,TotalInternalWeight
10,176,577.0
1,115,302.0
6,89,253.0
16,16,32.0
11,114,349.0
9,58,88.0
2,60,122.0
7,44,76.0
13,3,3.0
14,11,19.0
4,2,1.0
0,63,181.0
15,23,52.0
5,7,9.0
12,2,1.0
18,3,3.0
8,2,1.0
19,3,2.0
3,3,3.0
17,2,1.0
