Id,Label,house,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,modularity_class,stat_inf_class,clustering,triangles,eigencentrality
Arwyn-Oakheart,Arwyn Oakheart,Other,1,3,6,0.258201,0.268113,0,0.001094,0.001094,0.000324,0,9,17,0,0,0.004446
Arya-Stark,Arya Stark,Stark,84,1460,6,0.431362,0.488386,27534.997652,0.172624,0.172624,0.013448,0,0,0,0.11245,392,0.687495
Arys-Oakheart,Arys Oakheart,Other,9,76,7,0.326757,0.351165,559.012001,0.02863,0.02863,0.001367,0,15,1,0.5,18,0.112436
Asha-Greyjoy,Asha Greyjoy,Greyjoy,25,234,6,0.35177,0.381929,10423.10785,0.022997,0.022997,0.005265,0,7,7,0.113333,34,0.097647
Ashara-Dayne,Ashara Dayne,Other,1,3,8,0.255545,0.266444,0,0.001403,0.001403,0.000326,0,10,14,0,0,0.005457
Aurane-Waters,Aurane Waters,Other,9,37,6,0.337436,0.359371,24.681218,0.031642,0.031642,0.001243,0,10,12,0.611111,22,0.123533
Axell-Florent,Axell Florent,Other,10,98,6,0.329739,0.357086,537.603043,0.017469,0.017469,0.001692,0,2,8,0.511111,23,0.074859
Azor-Ahai,Azor Ahai,Other,1,6,6,0.307901,0.324256,0,0.006371,0.006371,0.000319,0,2,8,0,0,0.025882
Bael-the-Bard,Bael the Bard,Other,1,5,7,0.238595,0.249401,0,0.000385,0.000385,0.000343,0,11,6,0,0,0.002088
Baelor-Blacktyde,Baelor Blacktyde,Other,4,15,7,0.276811,0.291941,0,0.002329,0.002329,0.000987,0,7,7,1,6,0.01095
Baelor-I-Targaryen,Baelor I Targaryen,Targaryen,3,14,7,0.332219,0.354435,0,0.024257,0.024257,0.000549,0,10,12,1,3,0.095013
Ballabar,Ballabar,Other,3,23,7,0.323829,0.342423,794,0.010065,0.010065,0.000823,0,10,17,0.333333,1,0.039994
Balman-Byrch,Balman Byrch,Other,3,24,7,0.314727,0.333199,0,0.011313,0.011313,0.000577,0,10,2,1,3,0.044026
Balon-Greyjoy,Balon Greyjoy,Greyjoy,13,149,6,0.364679,0.392474,3012.776117,0.043302,0.043302,0.002302,0,7,7,0.487179,38,0.175456
Balon-Swann,Balon Swann,Other,16,96,7,0.348684,0.37867,1135.899858,0.056627,0.056627,0.002134,0,10,11,0.441667,53,0.220608
Bannen,Bannen,Other,2,16,7,0.260912,0.278023,0,0.001904,0.001904,0.000465,0,11,6,1,1,0.009463
Barbrey-Dustin,Barbrey Dustin,Other,6,37,6,0.325686,0.348239,57.672595,0.016288,0.016288,0.00108,0,1,15,0.666667,10,0.066756
Barristan-Selmy,Barristan Selmy,Selmy,41,470,6,0.386861,0.427987,14376.13016,0.098095,0.098095,0.006119,0,6,14,0.212195,174,0.39389
Barsena,Barsena,Other,1,4,7,0.277197,0.294582,0,0.002206,0.002206,0.00034,0,6,14,0,0,0.010346
Bartimus,Bartimus,Other,1,4,7,0.260827,0.273932,0,0.001533,0.001533,0.000345,0,2,8,0,0,0.006508
Bedwyck,Bedwyck,Other,5,18,7,0.26255,0.28274,0,0.003532,0.003532,0.000863,0,11,6,1,10,0.01829
Belaquo,Belaquo,Other,4,18,8,0.231374,0.246423,4.045363,0.000766,0.000766,0.000835,0,6,14,0.666667,4,0.004987
Bellegere-Otherys,Bellegere Otherys,Other,1,3,7,0.301479,0.318775,0,0.006041,0.006041,0.000325,0,0,0,0,0,0.024132
Belwas,Belwas,Other,13,153,7,0.297641,0.323408,88.691692,0.010371,0.010371,0.002041,0,6,14,0.410256,32,0.04879
Ben-Bones,Ben Bones,Other,2,9,7,0.298423,0.315421,0,0.005238,0.005238,0.00049,0,1,7,1,1,0.022147
Ben-Plumm,Ben Plumm,Other,9,63,7,0.338298,0.362653,339.774671,0.016716,0.016716,0.001524,0,6,14,0.444444,16,0.070815
Benedar-Belmore,Benedar Belmore,Other,5,21,7,0.287627,0.305421,138.923497,0.005981,0.005981,0.000956,0,10,10,0.7,7,0.023712
Benerro,Benerro,Other,4,18,7,0.335726,0.35714,11.699967,0.011925,0.011925,0.000797,0,16,7,0.666667,4,0.049438
Benethon-Scales,Benethon Scales,Other,2,7,7,0.255135,0.267739,0,0.00121,0.00121,0.000499,0,2,8,1,1,0.005616
Benfred-Tallhart,Benfred Tallhart,Other,4,16,7,0.298872,0.31714,115.809628,0.004063,0.004063,0.000914,0,1,13,0.166667,1,0.017428
Benjen-Stark,Benjen Stark,Stark,14,125,6,0.389706,0.420021,1791.269028,0.056308,0.056308,0.002169,0,11,6,0.516484,47,0.230118
Beric-Dondarrion,Beric Dondarrion,Other,18,166,6,0.358916,0.390147,675.345982,0.067164,0.067164,0.002527,0,0,0,0.464052,71,0.263636
Beth-Cassel,Beth Cassel,Cassel,3,11,6,0.312009,0.330901,0,0.011149,0.011149,0.000601,0,1,13,1,3,0.045822
Big-Boil,Big Boil,Other,2,6,6,0.308498,0.328805,0,0.005431,0.005431,0.000485,0,11,6,1,1,0.024506
Biter,Biter,Other,5,47,7,0.312132,0.333471,29.798353,0.012855,0.012855,0.000862,0,0,0,0.6,6,0.051424
Black-Balaq,Black Balaq,Other,1,3,8,0.206547,0.212507,0,0.000072,0.000072,0.000428,0,16,14,0,0,0.000406
Blane,Blane,Other,1,3,6,0.270869,0.283585,0,0.00148,0.00148,0.00032,0,11,6,0,0,0.006857
Bloodbeard,Bloodbeard,Other,4,14,7,0.290676,0.311689,35.417008,0.006107,0.006107,0.000801,0,6,14,0.666667,4,0.027214
Blue-Bard,Blue Bard,Other,5,23,7,0.314353,0.333827,286.662809,0.013959,0.013959,0.000862,0,10,12,0.6,6,0.054263
Bonifer-Hasty,Bonifer Hasty,Other,1,4,7,0.311398,0.328733,0,0.007921,0.007921,0.000319,0,9,11,0,0,0.030959
Boros-Blount,Boros Blount,Other,14,149,7,0.351459,0.381731,71.932784,0.063085,0.063085,0.001817,0,10,11,0.637363,58,0.24563
Bowen-Marsh,Bowen Marsh,Other,18,187,6,0.336864,0.36805,336.39176,0.026331,0.026331,0.002645,0,11,6,0.431373,66,0.118149
Bran-Stark,Bran Stark,Stark,54,1508,5,0.418862,0.463983,14174.641674,0.122537,0.122537,0.008375,0,1,13,0.155136,222,0.494993
Brandon-Norrey,Brandon Norrey,Other,2,6,6,0.308498,0.328805,794,0.005052,0.005052,0.000768,0,11,6,0,0,0.022531
Brandon-Stark,Brandon Stark,Stark,8,55,6,0.338154,0.358449,145.822059,0.030519,0.030519,0.001285,0,10,14,0.428571,12,0.120882
Brea,Brea,Other,3,15,7,0.301708,0.320033,0.5,0.006479,0.006479,0.000791,0,0,0,0.666667,2,0.026035
Brella,Brella,Other,2,12,7,0.302857,0.32041,0,0.008926,0.008926,0.00043,0,10,2,1,1,0.034642
Brenett,Brenett,Other,1,3,7,0.302511,0.31909,0,0.006155,0.006155,0.000315,0,1,3,0,0,0.024404
Brienne-of-Tarth,Brienne of Tarth,Other,45,521,6,0.384429,0.429581,10179.189379,0.116308,0.116308,0.007059,0,9,17,0.168687,167,0.457419
Bronn,Bronn,Other,25,313,6,0.362352,0.396625,915.29916,0.074284,0.074284,0.00355,0,10,2,0.256667,77,0.291483
Brus-Buckler,Brus Buckler,Other,3,15,7,0.255217,0.268368,0,0.001431,0.001431,0.000676,0,2,8,1,3,0.006756
Brusco,Brusco,Other,2,16,7,0.301593,0.319404,0,0.006267,0.006267,0.000549,0,0,0,1,1,0.025124
Bryce-Caron,Bryce Caron,Other,5,21,6,0.315476,0.333774,1633.207192,0.012066,0.012066,0.001168,0,10,8,0.4,4,0.04834
Brynden-Rivers,Brynden Rivers,Other,2,17,6,0.295539,0.310566,0,0.004748,0.004748,0.000457,0,1,13,1,1,0.019612
Brynden-Tully,Brynden Tully,Tully,19,185,6,0.371495,0.403396,702.88597,0.06002,0.06002,0.002709,0,1,3,0.368421,63,0.238125
Bump,Bump,Other,1,5,7,0.236889,0.246634,0,0.000251,0.000251,0.000431,0,11,6,0,0,0.001315
Butterbumps,Butterbumps,Other,2,10,7,0.302396,0.319572,0,0.008971,0.008971,0.000427,0,10,17,1,1,0.034698
Byam-Flint,Byam Flint,Other,1,3,7,0.241495,0.252848,0,0.000468,0.000468,0.000332,0,11,6,0,0,0.002582
Caggo,Caggo,Other,5,24,8,0.230101,0.245752,794,0.000809,0.000809,0.001239,0,6,14,0.6,6,0.004982
Caleotte,Caleotte,Other,4,27,7,0.28628,0.302171,23.038931,0.006631,0.006631,0.000703,0,15,1,0.666667,4,0.026086
Camarron,Camarron,Other,1,3,8,0.217749,0.227001,0,0.000096,0.000096,0.000378,0,6,14,0,0,0.000679
Captain-Myraham,Captain Myraham,Other,1,4,7,0.29753,0.313681,0,0.003586,0.003586,0.000344,0,1,7,0,0,0.015207
Captain-Myraham-Daughter,Captain Myraham Daughter,Other,1,3,7,0.29753,0.313681,0,0.003586,0.003586,0.000344,0,1,7,0,0,0.015207
Catelyn-Stark,Catelyn Stark,Stark,75,1230,6,0.433479,0.487275,17350.514211,0.175885,0.175885,0.011187,0,1,3,0.138378,384,0.698868
Cayn,Cayn,Other,3,16,7,0.319021,0.334687,2.327778,0.012301,0.012301,0.00058,0,10,18,0.666667,2,0.048351
Cedra,Cedra,Other,2,13,8,0.228186,0.239412,0,0.000599,0.000599,0.000503,0,15,1,1,1,0.002903
Cedric-Payne,Cedric Payne,Other,1,3,8,0.252061,0.262838,0,0.00125,0.00125,0.000337,0,9,17,0,0,0.004881
Cellador,Cellador,Other,4,22,6,0.308618,0.329853,0.5,0.00698,0.00698,0.000722,0,11,6,0.666667,4,0.031876
Cersei-Lannister,Cersei Lannister,Lannister,97,2232,6,0.454545,0.512159,27996.39709,0.235779,0.235779,0.013362,0,10,12,0.131658,613,0.926552
Chataya,Chataya,Other,1,10,7,0.322777,0.340012,0,0.008803,0.008803,0.000316,0,10,2,0,0,0.034984
Chayle,Chayle,Other,2,7,6,0.295429,0.310356,0,0.0046,0.0046,0.000489,0,1,13,1,1,0.01888
Chella,Chella,Other,3,16,7,0.323434,0.341794,0,0.015068,0.015068,0.000554,0,10,2,1,3,0.059307
Chett,Chett,Other,7,54,6,0.315727,0.339769,30.262726,0.010265,0.010265,0.001193,0,11,6,0.714286,15,0.047859
Chiggen,Chiggen,Other,3,16,7,0.323302,0.341689,0,0.012194,0.012194,0.000575,0,10,2,1,3,0.048248
Chiswyck,Chiswyck,Other,13,56,7,0.333333,0.35932,13.499662,0.046936,0.046936,0.001641,0,0,5,0.897436,70,0.18135
Clarence-Crabb,Clarence Crabb,Other,1,4,7,0.277778,0.292989,0,0.00407,0.00407,0.000322,0,9,17,0,0,0.015894
Clayton-Suggs,Clayton Suggs,Other,3,15,6,0.312992,0.331237,0,0.007737,0.007737,0.000651,0,2,7,1,3,0.032224
Clement-Piper,Clement Piper,Other,2,7,7,0.311642,0.329572,0,0.008328,0.008328,0.000483,0,1,3,1,1,0.032605
Cleon,Cleon,Other,3,21,7,0.279241,0.298524,6.031818,0.002645,0.002645,0.000733,0,6,14,0.666667,2,0.012902
Cleos-Frey,Cleos Frey,Frey,7,86,6,0.357947,0.38566,6.164946,0.047966,0.047966,0.001083,0,9,17,0.952381,20,0.189169
Cletus-Yronwood,Cletus Yronwood,Other,5,23,7,0.279438,0.299781,248.39274,0.002844,0.002844,0.001078,0,6,14,0.6,6,0.014238
Cley-Cerwyn,Cley Cerwyn,Other,3,12,6,0.299887,0.316038,0,0.007982,0.007982,0.000597,0,1,13,1,3,0.032437
Clubfoot-Karl,Clubfoot Karl,Other,2,9,7,0.261427,0.278967,0,0.002026,0.002026,0.000466,0,11,6,1,1,0.010163
Clydas,Clydas,Other,7,88,6,0.330699,0.356478,70.117093,0.015282,0.015282,0.001153,0,11,6,0.571429,12,0.067326
Cohollo,Cohollo,Other,4,29,7,0.277875,0.297203,0,0.002992,0.002992,0.000784,0,6,14,1,6,0.014881
Coldhands,Coldhands,Other,4,20,6,0.297864,0.314759,5.018988,0.006031,0.006031,0.000719,0,1,13,0.666667,4,0.025589
Colemon,Colemon,Other,6,30,7,0.312746,0.332968,36.184183,0.014396,0.014396,0.001021,0,10,10,0.466667,7,0.056775
Colen-of-Greenpools,Colen of Greenpools,Other,2,9,7,0.311642,0.328691,0,0.010723,0.010723,0.000439,0,1,3,1,1,0.042196
Conn,Conn,Other,3,20,7,0.323434,0.341899,794,0.009383,0.009383,0.000886,0,10,2,0.333333,1,0.03741
Coratt,Coratt,Other,1,5,8,0.244465,0.252502,0,0.000328,0.000328,0.00044,0,10,2,0,0,0.001379
Corliss-Penny,Corliss Penny,Other,1,3,6,0.307901,0.324256,0,0.006371,0.006371,0.000319,0,2,8,0,0,0.025882
Cortnay-Penrose,Cortnay Penrose,Other,7,39,6,0.344156,0.366268,208.413087,0.026768,0.026768,0.001184,0,2,8,0.619048,13,0.106805
Cotter-Pyke,Cotter Pyke,Other,10,68,6,0.331526,0.358994,81.90972,0.018277,0.018277,0.0015,0,11,6,0.688889,31,0.081974
Craster,Craster,Other,15,193,6,0.318255,0.346646,1229.075139,0.013379,0.013379,0.002525,0,11,6,0.333333,35,0.064051
Creighton-Longbough,Creighton Longbough,Other,3,27,7,0.278069,0.294456,8.080952,0.004501,0.004501,0.000782,0,9,17,0.333333,1,0.017707
Cressen,Cressen,Other,9,84,6,0.337723,0.358281,111.25764,0.023438,0.023438,0.001427,0,2,8,0.555556,20,0.095397
Cromm,Cromm,Other,2,8,8,0.207247,0.214437,0,0.000071,0.000071,0.000637,0,7,7,1,1,0.000658
Cutjack,Cutjack,Other,3,10,7,0.255135,0.266951,1587,0.001405,0.001405,0.001248,0,0,0,0,0,0.005837
Daario-Naharis,Daario Naharis,Other,19,196,7,0.29876,0.327916,1725.855124,0.011193,0.011193,0.003018,0,6,14,0.391813,67,0.05484
Dacey-Mormont,Dacey Mormont,Other,3,11,6,0.312746,0.331111,0,0.012752,0.012752,0.000591,0,1,3,1,3,0.050902
Daemon-Sand,Daemon Sand,Other,2,6,7,0.274043,0.28732,0,0.004128,0.004128,0.000432,0,15,1,1,1,0.016297
Daenerys-Targaryen,Daenerys Targaryen,Targaryen,73,1608,6,0.383317,0.438302,37374.503118,0.063045,0.063045,0.013048,0,6,14,0.076484,201,0.27101
Daeron-I-Targaryen,Daeron I Targaryen,Targaryen,1,3,7,0.254889,0.266187,0,0.001018,0.001018,0.000328,0,2,8,0,0,0.00433
Daeron-II-Targaryen,Daeron II Targaryen,Targaryen,2,6,6,0.299661,0.318113,393.496947,0.003432,0.003432,0.000477,0,6,14,0,0,0.016169
Dagmer,Dagmer,Other,5,23,7,0.3053,0.326469,45.439427,0.00943,0.00943,0.001019,0,7,7,0.7,7,0.039745
Dalbridge,Dalbridge,Other,3,13,6,0.308618,0.329434,0,0.005743,0.005743,0.000653,0,11,6,1,3,0.026112
Dalla,Dalla,Other,6,51,6,0.328106,0.353103,11.082846,0.015986,0.015986,0.000987,0,11,6,0.8,12,0.069234
Damon-Dance-for-Me,Damon Dance for Me,Other,5,26,7,0.298872,0.317517,2.95,0.005784,0.005784,0.001068,0,1,7,0.8,8,0.02489
Dancy,Dancy,Other,1,3,8,0.247895,0.256968,0,0.000689,0.000689,0.000374,0,10,2,0,0,0.002729
Danwell-Frey,Danwell Frey,Frey,3,9,7,0.265709,0.278649,330.443005,0.001993,0.001993,0.000763,0,2,8,0.333333,1,0.008145
Dareon,Dareon,Other,6,53,6,0.326355,0.353606,970.791303,0.014399,0.014399,0.001172,0,11,6,0.466667,7,0.06282
Daryn-Hornwood,Daryn Hornwood,Other,2,6,7,0.313362,0.327916,0,0.007162,0.007162,0.000508,0,10,18,1,1,0.028397
Daven-Lannister,Daven Lannister,Lannister,3,18,7,0.311887,0.33041,0,0.010719,0.010719,0.000581,0,9,3,1,3,0.042073
Davos-Seaworth,Davos Seaworth,Other,33,483,6,0.352706,0.389748,7526.411338,0.043798,0.043798,0.006084,0,2,8,0.126894,67,0.178826
Denyo-Terys,Denyo Terys,Other,2,11,7,0.301593,0.319404,0,0.00626,0.00626,0.000564,0,0,0,1,1,0.025081
Denys-Darklyn,Denys Darklyn,Other,1,4,7,0.268219,0.279949,0,0.002361,0.002361,0.000338,0,10,14,0,0,0.009222
Denys-Mallister,Denys Mallister,Other,9,59,6,0.314727,0.34021,3.96147,0.013937,0.013937,0.001348,0,11,6,0.861111,31,0.063961
Denzo-Dhan,Denzo Dhan,Other,1,3,8,0.218767,0.228217,0,0.000103,0.000103,0.000386,0,6,14,0,0,0.000717
Desmond,Desmond,Other,2,7,7,0.323171,0.341186,0,0.012747,0.012747,0.000456,0,10,0,1,1,0.05067
Desmond-Grell,Desmond Grell,Other,4,30,6,0.313609,0.332893,1.008427,0.014958,0.014958,0.000732,0,1,3,0.833333,5,0.059501
Devan-Seaworth,Devan Seaworth,Other,6,55,6,0.334596,0.358952,103.561346,0.019362,0.019362,0.001022,0,2,8,0.666667,10,0.080744
Dick-Crabb,Dick Crabb,Other,5,39,7,0.320953,0.342612,807.1548,0.017831,0.017831,0.001034,0,9,17,0.4,4,0.069687
Dick-Follard,Dick Follard,Other,2,8,6,0.308618,0.329015,0,0.005395,0.005395,0.00047,0,11,6,1,1,0.024376
Dick-Straw,Dick Straw,Other,2,7,8,0.219069,0.229579,794,0.000111,0.000111,0.000844,0,6,14,0,0,0.000877
Dirk,Dirk,Other,2,10,7,0.261427,0.278967,0,0.002026,0.002026,0.000466,0,11,6,1,1,0.010163
Dobber,Dobber,Other,1,4,7,0.301479,0.318775,0,0.006041,0.006041,0.000325,0,0,0,0,0,0.024132
Dolf,Dolf,Other,1,10,8,0.245598,0.254305,0,0.000568,0.000568,0.000385,0,10,2,0,0,0.002299
Donal-Noye,Donal Noye,Other,8,85,6,0.332775,0.357778,75.87815,0.017514,0.017514,0.001327,0,11,6,0.642857,18,0.077234
Donella-Hornwood,Donella Hornwood,Other,7,28,6,0.305065,0.324235,70.726462,0.011972,0.011972,0.001247,0,1,13,0.380952,8,0.049166
Donnel-Waynwood,Donnel Waynwood,Other,1,3,7,0.302511,0.31909,0,0.006155,0.006155,0.000315,0,1,3,0,0,0.024404
Dontos-Hollard,Dontos Hollard,Other,9,103,6,0.352237,0.377505,147.804336,0.041663,0.041663,0.001328,0,10,4,0.5,18,0.163756
Doran-Martell,Doran Martell,Martell,21,203,6,0.360217,0.39174,4588.03101,0.052176,0.052176,0.003047,0,15,1,0.290476,61,0.207997
Dorcas,Dorcas,Other,6,41,7,0.314353,0.334247,1.643974,0.016599,0.016599,0.000906,0,10,12,0.733333,11,0.064419
Doreah,Doreah,Other,6,54,7,0.282717,0.303261,0.652273,0.005408,0.005408,0.000993,0,6,14,0.933333,14,0.026242
Draqaz,Draqaz,Other,1,3,8,0.217332,0.225952,0,0.000081,0.000081,0.000449,0,6,14,0,0,0.000527
Drennan,Drennan,Other,2,6,7,0.297641,0.31431,0,0.003721,0.003721,0.000572,0,1,7,1,1,0.015904
Drogo,Drogo,Other,21,307,6,0.331665,0.358197,3910.631713,0.014787,0.014787,0.003514,0,6,14,0.290476,61,0.068147
Dryn,Dryn,Other,1,3,7,0.237882,0.249045,0,0.000395,0.000395,0.000342,0,11,6,0,0,0.002185
Dunsen,Dunsen,Other,13,154,7,0.333333,0.35932,13.499662,0.046936,0.046936,0.001641,0,0,5,0.897436,70,0.18135
Dunstan-Drumm,Dunstan Drumm,Other,3,10,8,0.251026,0.265036,2.3171,0.000628,0.000628,0.000846,0,7,7,0.666667,2,0.003847
Dywen,Dywen,Other,8,55,6,0.315351,0.33956,174.514028,0.0099,0.0099,0.001339,0,11,6,0.714286,20,0.046941
Ebben,Ebben,Other,4,26,6,0.308738,0.330063,0.333333,0.00595,0.00595,0.000833,0,11,6,0.833333,5,0.027204
Eddard-Stark,Eddard Stark,Stark,74,1649,6,0.455849,0.502935,24849.124082,0.191659,0.191659,0.011485,0,10,18,0.151796,410,0.762321
Eddison-Tollett,Eddison Tollett,Other,20,154,6,0.319534,0.350524,986.911972,0.018728,0.018728,0.003002,0,11,6,0.378947,72,0.08859
Edmure-Tully,Edmure Tully,Tully,24,291,6,0.351304,0.384822,1092.20667,0.065629,0.065629,0.003388,0,1,3,0.297101,82,0.257961
Edric-Storm,Edric Storm,Other,6,44,6,0.334034,0.351992,508.387716,0.016182,0.016182,0.001127,0,2,8,0.533333,8,0.065752
Edwyn-Frey,Edwyn Frey,Frey,4,25,7,0.312377,0.331668,0.326923,0.01165,0.01165,0.000722,0,9,3,0.833333,5,0.04586
Elbert-Arryn,Elbert Arryn,Arryn,1,3,7,0.268219,0.279949,0,0.002361,0.002361,0.000338,0,10,14,0,0,0.009222
Elder-Brother,Elder Brother,Other,3,11,7,0.277972,0.294247,0,0.004453,0.004453,0.000685,0,9,17,1,3,0.017567
Eldon-Estermont,Eldon Estermont,Other,2,6,7,0.240036,0.248631,794,0.000423,0.000423,0.000857,0,10,8,0,0,0.001846
Elia-Martell,Elia Martell,Martell,9,56,7,0.343116,0.370347,852.172,0.040091,0.040091,0.001457,0,10,14,0.583333,21,0.157132
Elinor-Tyrell,Elinor Tyrell,Tyrell,5,44,7,0.304364,0.324289,9.959764,0.011692,0.011692,0.000854,0,13,12,0.7,7,0.045391
Ellaria-Sand,Ellaria Sand,Other,6,24,7,0.334174,0.357287,312.078069,0.022007,0.022007,0.000972,0,10,1,0.733333,11,0.087091
Elmar-Frey,Elmar Frey,Frey,9,45,6,0.341495,0.369686,33.267103,0.043214,0.043214,0.001325,0,1,3,0.861111,31,0.170513
Elys-Waynwood,Elys Waynwood,Other,1,4,8,0.217035,0.223302,0,0.000098,0.000098,0.000509,0,4,10,0,0,0.000452
Emmett,Emmett,Other,5,34,6,0.310911,0.33327,7.022411,0.009007,0.009007,0.000908,0,11,6,0.6,6,0.040001
Emmon-Cuy,Emmon Cuy,Other,3,14,7,0.29057,0.308628,5.341359,0.009007,0.009007,0.000623,0,9,17,0.666667,2,0.035192
Emmon-Frey,Emmon Frey,Frey,8,44,7,0.316229,0.338503,146.510098,0.019945,0.019945,0.00133,0,9,3,0.5,14,0.078203
Emmond,Emmond,Other,1,4,8,0.238452,0.248561,0,0.000249,0.000249,0.000409,0,7,7,0,0,0.001412
Emrick,Emrick,Other,3,12,7,0.238238,0.250755,0,0.000621,0.000621,0.000672,0,11,6,1,3,0.003632
Eon-Hunter,Eon Hunter,Other,3,9,7,0.303088,0.320872,0,0.009999,0.009999,0.000574,0,10,10,1,3,0.03945
Eroeh,Eroeh,Other,1,8,7,0.277197,0.294582,0,0.002206,0.002206,0.00034,0,6,14,0,0,0.010346
Errok,Errok,Other,3,14,6,0.308498,0.329224,0.333333,0.005548,0.005548,0.000667,0,11,6,0.666667,2,0.025096
Euron-Greyjoy,Euron Greyjoy,Greyjoy,13,158,7,0.313115,0.33737,2526.461243,0.006743,0.006743,0.003152,0,7,7,0.282051,22,0.031013
Eustace-Brune,Eustace Brune,Other,1,3,8,0.243045,0.252284,0,0.000624,0.000624,0.000364,0,9,17,0,0,0.002464
Ezzara,Ezzara,Other,1,3,7,0.277197,0.294582,0,0.002206,0.002206,0.00034,0,6,14,0,0,0.010346
Falyse-Stokeworth,Falyse Stokeworth,Other,4,34,7,0.315476,0.334666,1.7404,0.01324,0.01324,0.000709,0,10,2,0.666667,4,0.051477
Farlen,Farlen,Other,1,6,7,0.29753,0.313681,0,0.003586,0.003586,0.000344,0,1,7,0,0,0.015207
Florian-the-Fool,Florian the Fool,Other,2,11,7,0.302511,0.319781,794,0.007212,0.007212,0.000726,0,12,16,0,0,0.02805
Fogo,Fogo,Other,1,4,8,0.199648,0.205271,0,0.000019,0.000019,0.000469,0,6,14,0,0,0.000223
Forley-Prester,Forley Prester,Other,2,6,7,0.260314,0.273399,0,0.002995,0.002995,0.00045,0,9,3,1,1,0.011752
Franklyn-Flowers,Franklyn Flowers,Other,3,10,7,0.260229,0.272225,794,0.002047,0.002047,0.000844,0,16,14,0.333333,1,0.008703
Franklyn-Fowler,Franklyn Fowler,Other,1,3,8,0.228055,0.238573,0,0.00043,0.00043,0.000351,0,15,1,0,0,0.002032
Frenken,Frenken,Other,1,4,8,0.244691,0.252775,0,0.000352,0.000352,0.000422,0,10,17,0,0,0.001463
Frenya,Frenya,Other,2,9,7,0.297641,0.31431,0,0.003773,0.003773,0.000525,0,1,7,1,1,0.016109
Fulk,Fulk,Other,2,9,6,0.308379,0.328595,0,0.005338,0.005338,0.000471,0,11,6,1,1,0.02403
Galazza-Galare,Galazza Galare,Other,6,57,7,0.290358,0.312108,24.252131,0.006656,0.006656,0.001084,0,6,14,0.733333,11,0.030007
Galbart-Glover,Galbart Glover,Other,8,34,6,0.345202,0.367526,298.668713,0.027741,0.027741,0.001283,0,1,3,0.464286,13,0.110675
Galyeon-of-Cuy,Galyeon of Cuy,Other,1,3,7,0.322777,0.340012,0,0.008803,0.008803,0.000316,0,10,2,0,0,0.034984
Gared,Gared,Other,3,29,6,0.271238,0.285262,322.228089,0.001555,0.001555,0.000841,0,18,6,0.333333,1,0.007372
Garin-(orphan),Garin (orphan),Other,9,63,7,0.278361,0.295966,251.992233,0.004816,0.004816,0.001605,0,15,1,0.444444,16,0.020211
Gariss,Gariss,Other,2,8,8,0.21217,0.219768,794,0.000058,0.000058,0.001052,0,1,7,0,0,0.000453
Garlan-Tyrell,Garlan Tyrell,Tyrell,7,44,7,0.33601,0.360054,795.087249,0.037355,0.037355,0.001169,0,10,4,0.666667,14,0.145616
Garrett-Paege,Garrett Paege,Other,1,3,7,0.311398,0.328733,0,0.007921,0.007921,0.000319,0,9,11,0,0,0.030959
Garth-(Wolfs-Den),Garth (Wolfs Den),Other,2,7,7,0.264823,0.279194,0,0.002127,0.002127,0.000513,0,2,8,1,1,0.008968
Garth-Greyfeather,Garth Greyfeather,Other,3,11,6,0.308738,0.329644,0,0.005549,0.005549,0.000691,0,0,0,1,3,0.024867
Garth-Tyrell,Garth Tyrell,Tyrell,1,3,7,0.312623,0.329425,0,0.008251,0.008251,0.000306,0,10,12,0,0,0.032093
Gawen-Westerling,Gawen Westerling,Other,2,6,7,0.251026,0.262363,0.833333,0.00112,0.00112,0.000512,0,2,8,0,0,0.004619
Gelmarr,Gelmarr,Other,1,3,8,0.212057,0.218929,0,0.000058,0.000058,0.000512,0,1,7,0,0,0.000367
Gendel,Gendel,Other,2,6,6,0.308379,0.328595,0,0.005228,0.005228,0.000574,0,11,6,1,1,0.023353
Gendry,Gendry,Other,20,238,6,0.341788,0.369853,3934.637105,0.040039,0.040039,0.003237,0,0,0,0.273684,52,0.159049
Genna-Lannister,Genna Lannister,Lannister,3,15,7,0.314602,0.333681,0,0.01421,0.01421,0.000576,0,9,3,1,3,0.055448
Gerald-Gower,Gerald Gower,Other,1,3,8,0.208552,0.215476,0,0.000074,0.000074,0.000437,0,2,8,0,0,0.000419
Gerold-Dayne,Gerold Dayne,Other,5,34,7,0.282616,0.298985,2.882984,0.006219,0.006219,0.000866,0,15,1,0.8,8,0.024845
Gerold-Grafton,Gerold Grafton,Other,1,3,9,0.202961,0.209695,0,0.000053,0.000053,0.000466,0,10,10,0,0,0.000314
Gerold-Hightower,Gerold Hightower,Other,8,34,6,0.34223,0.364004,2649.823679,0.027488,0.027488,0.001527,0,5,14,0.464286,13,0.108895
Gerrick-Kingsblood,Gerrick Kingsblood,Other,2,8,6,0.308498,0.328805,794,0.005052,0.005052,0.000768,0,11,6,0,0,0.022531
Gerris-Drinkwater,Gerris Drinkwater,Other,9,100,7,0.293142,0.317412,838.582808,0.006724,0.006724,0.00174,0,6,14,0.527778,19,0.031293
Ghael,Ghael,Other,2,13,7,0.277293,0.295211,0,0.002299,0.002299,0.000548,0,6,14,1,1,0.010945
