Id,Label,clustering,triangles,pageranks,degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,eigencentrality,weighted degree,Authority,Hub,modularity_class,stat_inf_class
Mors-Umber,,0.166667,1,0.00083,4,6,0.311033,0.329602,0.000238,0,0.029971,17,0.007259,0.007259,4,13
Rickard-Karstark,,0.484848,32,0.001811,12,6,0.346556,0.372977,0.000916,0,0.165645,89,0.041517,0.041517,1,14
Aron-Santagar,,0,0,0.000299,1,7,0.276618,0.290683,0,0,0.016405,3,0.004299,0.004299,0,2
Arron,,1,3,0.000672,3,7,0.238238,0.250755,0,0,0.003787,14,0.000621,0.000621,10,9
Emrick,,1,3,0.000672,3,7,0.238238,0.250755,0,0,0.003787,12,0.000621,0.000621,10,9
Hareth-(Moles-Town),,0.309091,17,0.001987,11,6,0.3097,0.334675,0.002203,0,0.03456,60,0.00714,0.00714,10,9
Satin,,0.333333,26,0.002135,13,6,0.311887,0.338407,0.002941,0,0.048583,101,0.009982,0.009982,10,9
Arson,,0,0,0.00033,1,6,0.308259,0.327966,0,0,0.022657,3,0.005045,0.005045,10,9
Arstan,,0.5,14,0.001393,8,7,0.29057,0.312234,0.000124,0,0.032696,90,0.00695,0.00695,9,10
Illyrio-Mopatis,,0.469697,31,0.001813,12,6,0.346556,0.371488,0.001203,0,0.099843,138,0.023549,0.023549,9,10
Jhiqui,,0.590909,39,0.001835,12,7,0.283221,0.307245,0.000072,0,0.034986,183,0.006468,0.006468,9,10
Kraznys-mo-Nakloz,,1,1,0.000488,2,7,0.277293,0.295211,0,0,0.011931,19,0.002449,0.002449,9,10
Mero,,0.5,3,0.000944,4,7,0.281416,0.300222,0.002516,0,0.017385,24,0.003563,0.003563,9,10
Lewyn-Martell,,0.5,3,0.001087,4,7,0.255956,0.266742,0.001318,0,0.00511,12,0.001188,0.001188,2,1
Smiling-Knight,,0,0,0.000874,2,8,0.217332,0.225231,0.002516,0,0.000973,7,0.000189,0.000189,2,1
Arwyn-Oakheart,,0,0,0.000324,1,6,0.258201,0.268113,0,0,0.004462,3,0.001094,0.001094,4,4
Randyll-Tarly,,0.25641,20,0.002077,13,5,0.347921,0.373732,0.004473,0,0.125151,67,0.031257,0.031257,4,4
Bellegere-Otherys,,0,0,0.000325,1,7,0.301479,0.318775,0,0,0.024146,3,0.006041,0.006041,8,6
Benjen-Stark,,0.516484,47,0.002169,14,6,0.389706,0.420021,0.005675,0,0.230687,125,0.056308,0.056308,10,9
Biter,,0.6,6,0.000862,5,7,0.312132,0.333471,0.000094,0,0.051483,47,0.012855,0.012855,8,6
Brea,,0.666667,2,0.000791,3,7,0.301708,0.320033,0.000002,0,0.026085,15,0.006479,0.006479,8,6
Brusco,,1,1,0.000549,2,7,0.301593,0.319404,0,0,0.025158,16,0.006267,0.006267,8,6
Denyo-Terys,,1,1,0.000564,2,7,0.301593,0.319404,0,0,0.025113,11,0.00626,0.00626,8,6
Desmond,,1,1,0.000456,2,7,0.323171,0.341186,0,0,0.050648,7,0.012747,0.012747,2,6
Dobber,,0,0,0.000325,1,7,0.301479,0.318775,0,0,0.024146,4,0.006041,0.006041,8,6
Elmar-Frey,,0.861111,31,0.001325,9,6,0.341495,0.369686,0.000105,0,0.170334,45,0.043214,0.043214,1,14
Jaqen-Hghar,,0.6,9,0.000996,6,7,0.304598,0.325064,0.000028,0,0.044498,64,0.011011,0.011011,8,6
Jeyne-Poole,,0.333333,26,0.001966,13,6,0.348837,0.374277,0.001727,0,0.156391,112,0.039347,0.039347,3,13
Kindly-Man,,1,1,0.000564,2,7,0.301593,0.319404,0,0,0.025113,30,0.00626,0.00626,8,6
Koss,,1,1,0.000451,2,7,0.302052,0.319928,0,0,0.031198,8,0.007741,0.007741,8,6
Lommy-Greenhands,,0.8,12,0.001038,6,7,0.304481,0.324855,0.000011,0,0.041759,99,0.010249,0.010249,8,6
Mad-Huntsman,,0,0,0.000325,1,7,0.301479,0.318775,0,0,0.024146,4,0.006041,0.006041,8,6
Meralyn,,0,0,0.000325,1,7,0.301479,0.318775,0,0,0.024146,9,0.006041,0.006041,8,6
Mordane,,0.763636,42,0.001544,11,6,0.370457,0.398805,0.000477,0,0.237294,145,0.05986,0.05986,8,8
Mycah,,1,10,0.000791,5,7,0.334174,0.356616,0,0,0.123913,65,0.031751,0.031751,0,2
Pate-(Old),,0,0,0.000325,1,7,0.301479,0.318775,0,0,0.024146,4,0.006041,0.006041,8,6
Praed,,0,0,0.000325,1,7,0.301479,0.318775,0,0,0.024146,3,0.006041,0.006041,8,6
Ravella-Swann,,0,0,0.000325,1,7,0.301479,0.318775,0,0,0.024146,7,0.006041,0.006041,8,6
Rickon-Stark,,0.551471,75,0.002443,17,6,0.39124,0.423417,0.001981,0,0.257118,345,0.063339,0.063339,1,8
Rodrik-Cassel,,0.310345,135,0.004419,30,6,0.403144,0.440671,0.011062,0,0.376,253,0.093605,0.093605,1,8
Rorge,,0.388889,14,0.001449,9,7,0.326087,0.35106,0.000418,0,0.075219,77,0.01882,0.01882,8,6
Syrio-Forel,,0.5,3,0.000688,4,7,0.324357,0.343597,0.00001,0,0.069157,43,0.017463,0.017463,8,6
Talea,,1,1,0.000549,2,7,0.301593,0.319404,0,0,0.025158,8,0.006267,0.006267,8,6
Ternesio-Terys,,1,1,0.000564,2,7,0.301593,0.319404,0,0,0.025113,8,0.00626,0.00626,8,6
Thoros-of-Myr,,0.638889,23,0.001373,9,6,0.34018,0.363564,0.000503,0,0.120128,117,0.03045,0.03045,8,6
Tommen-Baratheon,,0.327652,173,0.004306,33,6,0.384615,0.424444,0.006251,0,0.458213,539,0.117162,0.117162,0,4
Umma,,0,0,0.000325,1,7,0.301479,0.318775,0,0,0.024146,6,0.006041,0.006041,8,6
Vayon-Poole,,1,10,0.000811,5,6,0.342083,0.363669,0,0,0.121223,28,0.030743,0.030743,2,8
Waif,,1,1,0.000564,2,7,0.301593,0.319404,0,0,0.025113,33,0.00626,0.00626,8,6
Weasel,,0.666667,4,0.000739,4,7,0.302052,0.321081,0.000005,0,0.030885,27,0.007651,0.007651,8,6
Weese,,0.5,14,0.001167,8,7,0.315226,0.337266,0.000107,0,0.084546,49,0.021756,0.021756,8,6
Woth,,1,10,0.000879,5,7,0.304364,0.324226,0,0,0.040619,18,0.009991,0.009991,8,6
Yorko-Terys,,0,0,0.000325,1,7,0.301479,0.318775,0,0,0.024146,6,0.006041,0.006041,8,6
Clayton-Suggs,,1,3,0.000651,3,6,0.312992,0.331237,0,0,0.032385,15,0.007737,0.007737,4,13
Galbart-Glover,,0.464286,13,0.001283,8,6,0.345202,0.367526,0.000946,0,0.110701,34,0.027741,0.027741,1,14
Godry-Farring,,0.52381,11,0.001262,7,6,0.333054,0.358407,0.00101,0,0.069793,29,0.016023,0.016023,4,13
Grimtongue,,0.5,3,0.001076,4,7,0.261084,0.274205,0.001271,0,0.00522,17,0.000989,0.000989,3,13
Hagen,,0.4,6,0.00155,6,7,0.261255,0.275463,0.0013,0,0.005773,21,0.001048,0.001048,3,13
Qarl-the-Maid,,1,3,0.000819,3,7,0.260741,0.272947,0,0,0.00451,16,0.000872,0.000872,3,13
Red-Oarsman,,0.333333,1,0.000993,3,7,0.261255,0.274205,0.005025,0,0.005365,12,0.001042,0.001042,3,13
Rodrik-Harlaw,,0.428571,9,0.001777,7,7,0.269127,0.286092,0.002132,0,0.008382,30,0.001437,0.001437,3,13
Rolfe-the-Dwarf,,0,0,0.000367,1,7,0.260314,0.271165,0,0,0.003823,3,0.000805,0.000805,3,13
Sybelle-Glover,,0,0,0.000586,2,7,0.260827,0.272737,0.000018,0,0.004688,6,0.00095,0.00095,3,13
Torgon-Greyiron,,0,0,0.000367,1,7,0.260314,0.271165,0,0,0.003823,3,0.000805,0.000805,3,13
Tristifer-Botley,,1,3,0.000819,3,7,0.260741,0.272947,0,0,0.00451,24,0.000872,0.000872,3,13
Tycho-Nestoris,,0.666667,2,0.00064,3,6,0.331942,0.355052,0.000534,0,0.052405,22,0.012222,0.012222,10,13
Wex-Pyke,,0.3,3,0.00119,5,7,0.301822,0.321584,0.002153,0,0.022849,32,0.005159,0.005159,3,13
Ashara-Dayne,,0,0,0.000326,1,8,0.255545,0.266444,0,0,0.005447,3,0.001403,0.001403,0,1
Aurane-Waters,,0.611111,22,0.001243,9,6,0.337436,0.359371,0.000078,0,0.123259,37,0.031642,0.031642,0,4
Harys-Swyft,,0.722222,26,0.001252,9,6,0.345803,0.369916,0.000083,0,0.142776,42,0.036592,0.036592,0,4
Loras-Tyrell,,0.473545,179,0.003541,28,6,0.382028,0.419623,0.001443,0,0.471866,329,0.121096,0.121096,0,4
Orton-Merryweather,,0.644444,29,0.001356,10,6,0.341202,0.364256,0.000081,0,0.144836,43,0.037217,0.037217,0,4
Paxter-Redwyne,,0.266667,4,0.000935,6,6,0.338875,0.360419,0.000773,0,0.091323,34,0.022909,0.022909,0,4
Porridge,,1,3,0.000664,3,7,0.268128,0.283115,0,0,0.01,14,0.00224,0.00224,4,7
Salladhor-Saan,,0.8,8,0.00093,5,6,0.314478,0.333857,0.00001,0,0.043162,74,0.010264,0.010264,4,7
Shireen-Baratheon,,0.384615,30,0.00213,13,6,0.341935,0.37086,0.003259,0,0.120162,68,0.029085,0.029085,4,7
Azor-Ahai,,0,0,0.000319,1,6,0.307901,0.324256,0,0,0.025924,6,0.006371,0.006371,4,7
Bael-the-Bard,,0,0,0.000343,1,7,0.238595,0.249401,0,0,0.002154,5,0.000385,0.000385,10,9
Ygritte,,0.346154,27,0.002363,13,6,0.313239,0.339727,0.002655,0,0.052556,165,0.011012,0.011012,10,9
Baelor-I-Targaryen,,1,3,0.000549,3,7,0.332219,0.354435,0,0,0.094833,14,0.024257,0.024257,0,3
Ballabar,,0.333333,1,0.000823,3,7,0.323829,0.342423,0.002516,0,0.040004,23,0.010065,0.010065,0,12
Frenken,,0,0,0.000422,1,8,0.244691,0.252775,0,0,0.001479,4,0.000352,0.000352,0,12
Podrick-Payne,,0.309091,17,0.001922,11,7,0.336864,0.36389,0.003391,0,0.139647,159,0.035716,0.035716,1,12
Balman-Byrch,,1,3,0.000577,3,7,0.314727,0.333199,0,0,0.043928,24,0.011313,0.011313,0,4
Falyse-Stokeworth,,0.666667,4,0.000709,4,7,0.315476,0.334666,0.000006,0,0.051362,34,0.01324,0.01324,0,4
Boros-Blount,,0.637363,58,0.001817,14,7,0.351459,0.381731,0.000228,0,0.245009,149,0.063085,0.063085,0,4
Mandon-Moore,,0.777778,28,0.001245,9,7,0.347162,0.374352,0.000023,0,0.206368,57,0.053102,0.053102,0,4
Osmund-Kettleblack,,0.470588,72,0.002347,18,7,0.347921,0.379572,0.000671,0,0.266522,218,0.068853,0.068853,0,4
Bannen,,1,1,0.000465,2,7,0.260912,0.278023,0,0,0.009664,16,0.001904,0.001904,10,9
Dywen,,0.714286,20,0.001339,8,6,0.315351,0.33956,0.000553,0,0.047742,55,0.0099,0.0099,10,9
Barbrey-Dustin,,0.666667,10,0.00108,6,6,0.325686,0.348239,0.000183,0,0.066964,37,0.016288,0.016288,3,13
Roger-Ryswell,,1,1,0.000496,2,7,0.297641,0.31431,0,0,0.017771,8,0.004156,0.004156,3,13
Ben-Plumm,,0.444444,16,0.001524,9,7,0.338298,0.362653,0.001077,0,0.071378,63,0.016716,0.016716,9,10
Bloodbeard,,0.666667,4,0.000801,4,7,0.290676,0.311689,0.000112,0,0.027594,14,0.006107,0.006107,9,10
Galazza-Galare,,0.733333,11,0.001084,6,7,0.290358,0.312108,0.000077,0,0.030469,57,0.006656,0.006656,9,10
